; ;;;;;;2017-12-28;;2017-12-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;OMX:;+0,07%;;;;;JK:;WG:;MH:;EE:;TOT:;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;-0,007803263;;;;;;;;;;;;;;;;;;11:37:06;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;CSX:;+0,39%;;;;;0,034%;0,022%;0,037%;0,039%;0,132%;;;;;;;;;;MOM;MOM;VOL;VOL;MCAP;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;2021-04-12;;;;;;;;;;;;;;;;;;;;;;;;;L/S ;PORTO;L/S ;PORTO;L/S ;;;;;;;;;;;
;TICKER;;;Market;Price;MarketCap;5 days;ADV;Beta 2Y;� Net;PM;PRICE;VOLUME;VALUE;SIZE;;;WEIGHT;% 1D;� SEK 1D;;;� 1D;� 1D;DPS;DIV;� 1W;� MTD;� 1M;� 3M;� 6M;VOL 30D;MOM;;;;;WEIGHT;WEIGHT;WEIGHT;WEIGHT;WEIGHT;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;LMKG;;;SSE;LAST;1 013 807 864;0;115 255;1,00;0,1%;MH;82,20;50 000;4 110 000;0,41%;;;0,1%;0,00%;-30 000;;;-0,60;-0,7%;0,00;0;0%;3%;0%;0%;0%;29;0,1 ;;;;;0,00;0,00;0,06;0,04;0,0;;;;;;;;;;;
;LOOMIS;; ;SSE;LAST;21 281 607 658;0;281 251;1,20;0,1%;WG;282,70;10 550;2 982 485;0,01%;;;0,1%;0,00%;31 650;;;3,00;1,1%;0,00;0;-0%;6%;11%;37%;29%;28;14,8 ;;;;;0,02;0,01;0,04;0,03;0,0;;;;;;;;;;;
;LOOMIS;; ;SSE;LAST;21 281 607 658;0;281 251;1,20;0,6%;EE;282,70;61 083;17 268 164;0,08%;;;0,5%;0,01%;183 249;;;3,00;1,1%;0,00;0;-0%;6%;11%;37%;29%;28;14,8 ;;;;;0,13;0,08;0,25;0,15;0,2;;;;;;;;;;;
;MNTR;;;OSS;PREVCLOSE;1 301 529 810;6 263 360;620 982;1,50;0,5%;WG;7,00;1 507 855;10 648 924;0,81%;;;0,3%;0,00%;0;;;0,00;0,0%;0,00;0;4%;13%;10%;-13%;0%;37;2,0 ;;;;;0,01;0,01;0,20;0,12;0,0;;;;;;;;;;;
;MOCORP;;;HSS;LAST;8 525 981 545;0;1 958 697;1,30;0,6%;EE;10,29;143 750;14 987 201;0,02%;;;0,5%;0,01%;439 586;;;0,29;2,9%;0,10;24 287;6%;8%;13%;19%;52%;30;17,7 ;;;;;0,14;0,08;0,23;0,14;0,1;;;;;;;;;;;
;MRCEL;;;OSS;LAST;4 983 094 842;0;601 354;0,70;0,1%;MH;10,94;500 000;5 518 683;0,11%;;;0,2%;0,00%;131 157;;;0,26;2,4%;0,00;0;-1%;0%;4%;-3%;4%;30;0,8 ;;;;;0,00;0,00;0,09;0,05;0,0;;;;;;;;;;;
;NCC B;;;SSE;LAST;15 236 946 404;0;269 975;1,40;0,7%;WG;159,60;105 055;16 766 778;0,11%;;;0,5%;0,01%;252 132;;;2,40;1,5%;0,00;0;1%;8%;5%;4%;5%;20;3,4 ;;;;;0,03;0,02;0,17;0,10;0,1;;;;;;;;;;;
;NCC B;; ;SSE;LAST;15 236 946 404;0;269 975;1,20;0,6%;EE;159,60;108 273;17 280 371;0,11%;;;0,5%;0,01%;259 855;;;2,40;1,5%;0,00;0;1%;8%;5%;4%;5%;20;3,4 ;;;;;0,03;0,02;0,18;0,11;0,1;;;;;;;;;;;
;NDA SE;;;SSE;LAST;345 096 403 018;0;6 995 666;1,20;0,6%;EE;85,21;200 000;17 042 000;n.m.;;;0,5%;0,00%;72 000;;;0,36;0,4%;0,00;0;-3%;-1%;0%;23%;21%;17;6,8 ;;;;;0,06;0,04;0,15;0,09;3,0;;;;;;;;;;;
;NDA SE;;;SSE;LAST;345 096 403 018;0;6 995 666;1,20;0,9%;WG;85,21;290 000;24 710 900;n.m.;;;0,8%;0,00%;104 400;;;0,36;0,4%;0,00;0;-3%;-1%;0%;23%;21%;17;6,8 ;;;;;0,09;0,05;0,22;0,13;4,4;;;;;;;;;;;
;NDA SE;;;SSE;LAST;345 096 403 018;0;6 995 666;1,20;0,4%;JK;85,21;120 000;10 225 200;n.m.;;;0,3%;0,00%;43 200;;;0,36;0,4%;0,00;0;-3%;-1%;0%;23%;21%;17;6,8 ;;;;;0,04;0,02;0,09;0,05;1,8;;;;;;;;;;;
;NELLY;; ;SSE;LAST;651 649 516;0;163 290;1,20;0,2%;EE;36,15;114 173;4 127 354;0,63%;;;0,1%;0,00%;119 882;;;1,05;3,0%;0,00;0;-7%;7%;13%;0%;21%;48;4,5 ;;;;;0,01;0,01;0,10;0,06;0,0;;;;;;;;;;;
;NOLA B;;;SSE;LAST;20 399 079 204;0;30 872;1,40;0,8%;EE;850,50;22 406;19 056 303;0,09%;;;0,6%;0,01%;212 857;;;9,50;1,1%;0,00;0;-2%;9%;5%;8%;1%;29;2,2 ;;;;;0,02;0,01;0,29;0,17;0,2;;;;;;;;;;;
;NOKIA;;;HSS;LAST;20 170 588 959;0;12 609 343;1,30;0,6%;EE;3,55;431 150;15 532 959;0,01%;;;0,5%;0,01%;198 860;;;0,05;1,3%;0,00;0;1%;4%;5%;-7%;-1%;15;0,2 ;;;;;0,00;0,00;0,12;0,07;0,2;;;;;;;;;;;
;NP3;;;SSE;LAST;8 792 041 463;8 514 356;19 726;1,40;0,5%;EE;161,80;72 349;11 706 068;0,13%;;;0,4%;0,01%;405 154;;;5,60;3,6%;0,00;0;10%;16%;20%;27%;45%;26;21,8 ;;;;;0,13;0,08;0,15;0,09;0,1;;;;;;;;;;;
;NWG;;;SSE;LAST;4 450 711 188;15 398 881;37 599;1,20;0,8%;WG;184,80;120 926;22 347 125;n.m.;;;0,7%;0,01%;169 296;;;1,40;0,8%;0,00;0;2%;10%;13%;19%;42%;31;14,7 ;;;;;0,17;0,10;0,36;0,21;0,1;;;;;;;;;;;
;NYF;;;SSE;LAST;18 542 357 837;0;551 190;1,40;0,6%;EE;100,50;141 933;14 264 267;0,08%;;;0,4%;-0,01%;-184 513;;;-1,30;-1,3%;0,00;0;-3%;12%;13%;24%;28%;24;11,7 ;;;;;0,09;0,05;0,18;0,11;0,1;;;;;;;;;;;
;NYF;; ;SSE;LAST;18 542 357 837;0;551 190;0,80;0,8%;MH;100,50;316 397;31 797 899;0,17%;;;1,0%;-0,01%;-411 316;;;-1,30;-1,3%;0,00;0;-3%;12%;13%;24%;28%;24;11,7 ;;;;;0,19;0,12;0,39;0,24;0,3;;;;;;;;;;;
;PACT;;;SSE;LAST;2 468 812 847;6 012 379;14 822;1,30;0,4%;WG;264,50;37 553;9 932 769;0,40%;;;0,3%;-0,01%;-469 413;;;-12,50;-4,5%;0,00;0;-20%;-10%;-7%;-7%;14%;64;-8,3 ;;;;;-0,04;-0,03;0,33;0,20;0,0;;;;;;;;;;;
;PEXIP;;;OSS;LAST;9 037 302 929;0;269 626;1,50;0,5%;WG;87,05;123 932;10 884 296;n.m.;;;0,3%;0,01%;356 350;;;2,85;3,4%;0,00;0;0%;-9%;-6%;-2%;18%;40;0,7 ;;;;;0,00;0,00;0,22;0,13;0,1;;;;;;;;;;;
;PHO;;;OSS;LAST;3 454 424 758;5 819 508;121 871;0,70;0,5%;MH;128,80;166 655;21 656 204;0,62%;;;0,7%;0,01%;218 580;;;1,30;1,0%;0,00;0;-2%;-5%;1%;27%;48%;32;12,2 ;;;;;0,14;0,08;0,36;0,22;0,0;;;;;;;;;;;
;PIERCE;;;SSE;LAST;3 397 211 480;576 644;79 099;1,30;0,3%;WG;85,60;85 835;7 347 476;0,22%;;;0,2%;0,01%;480 676;;;5,60;7,0%;0,00;0;6%;8%;0%;0%;0%;51;2,3 ;;;;;0,01;0,01;0,19;0,12;0,0;;;;;;;;;;;
;PRIC B;;;SSE;LAST;4 094 289 158;14 761 562;379 756;1,40;1,3%;WG;36,97;779 041;28 801 146;0,70%;;;0,9%;-0,01%;-412 892;;;-0,53;-1,4%;0,00;0;8%;7%;7%;-1%;29%;43;9,3 ;;;;;0,14;0,08;0,63;0,38;0,1;;;;;;;;;;;
;RESURS;;;SSE;LAST;10 248 000 000;0;633 248;1,40;0,6%;WG;51,24;265 355;13 596 790;0,13%;;;0,4%;0,00%;122 063;;;0,46;0,9%;0,00;0;-4%;7%;5%;13%;9%;24;4,3 ;;;;;0,03;0,02;0,17;0,10;0,1;;;;;;;;;;;
;RESURS;;;SSE;LAST;10 248 000 000;0;633 248;1,40;0,6%;EE;51,24;252 677;12 947 169;0,13%;;;0,4%;0,00%;116 231;;;0,46;0,9%;0,00;0;-4%;7%;5%;13%;9%;24;4,3 ;;;;;0,03;0,02;0,16;0,10;0,1;;;;;;;;;;;
;RUG;;;SSE;LAST;3 200 911 560;34 212 785;55 817;1,40;1,3%;MH;154,00;197 978;30 488 612;0,95%;;;0,9%;0,01%;237 574;;;1,20;0,8%;0,00;0;2%;22%;24%;0%;0%;31;7,7 ;;;;;0,12;0,07;0,48;0,29;0,1;;;;;;;;;;;
;RUG;;;SSE;LAST;3 200 911 560;0;55 817;1,40;0,5%;EE;154,00;80 000;12 320 000;0,38%;;;0,4%;0,00%;96 000;;;1,20;0,8%;0,00;0;2%;22%;24%;0%;0%;31;7,7 ;;;;;0,05;0,03;0,19;0,12;0,0;;;;;;;;;;;
;SAVE; ; ;SSE;LAST;41 162 500 000;0;646 549;0,60;0,2%;EE;164,65;62 957;10 365 870;0,03%;;;0,3%;0,00%;103 879;;;1,65;1,0%;0,00;0;-4%;17%;15%;23%;0%;37;7,8 ;;;;;0,04;0,03;0,19;0,12;0,2;;;;;;;;;;;
;SBB B;; ;SSE;LAST;36 238 372 545;0;3 976 304;0,50;0,5%;MH;32,37;1 000 820;32 396 543;0,09%;;;1,0%;0,02%;590 484;;;0,59;1,9%;0,00;0;7%;19%;23%;18%;21%;22;16,0 ;;;;;0,27;0,16;0,36;0,22;0,6;;;;;;;;;;;
;SBB B;; ;SSE;LAST;36 238 372 545;0;3 976 304;0,50;0,0%;WG;32,37;50 000;1 618 500;0,00%;;;0,1%;0,00%;29 500;;;0,59;1,9%;0,00;0;7%;19%;23%;18%;21%;22;16,0 ;;;;;0,01;0,01;0,02;0,01;0,0;;;;;;;;;;;
;SCST;;;SSE;LAST;4 412 867 452;24 979 166;224 025;0,80;1,0%;MH;66,80;597 965;39 944 062;0,91%;;;1,2%;0,01%;179 389;;;0,30;0,5%;0,00;0;-0%;6%;6%;-4%;3%;18;1,5 ;;;;;0,03;0,02;0,38;0,23;0,1;;;;;;;;;;;
;SHB A;; ;SSE;LAST;183 664 755 463;0;4 312 954;0,90;1,2%;WG;94,44;440 250;41 577 210;0,02%;;;1,3%;0,00%;105 660;;;0,24;0,3%;0,00;0;-3%;-0%;0%;11%;21%;17;4,5 ;;;;;0,10;0,06;0,37;0,22;3,9;;;;;;;;;;;
;SECU B; ; ;SSE;LAST;51 204 581 011;0;1 119 853;0,60;0,6%;WG;147,18;202 406;29 789 103;0,06%;;;0,9%;0,00%;116 383;;;0,57;0,4%;0,00;0;-2%;-1%;1%;12%;7%;10;3,3 ;;;;;0,05;0,03;0,15;0,09;0,8;;;;;;;;;;;
;SF;;;SSE;LAST;30 862 739 485;0;1 827 626;1,10;0,2%;WG;86,35;80 000;6 908 000;0,02%;;;0,2%;-0,01%;-176 000;;;-2,20;-2,5%;0,00;0;-7%;7%;7%;-9%;-18%;44;-4,9 ;;;;;-0,02;-0,01;0,16;0,09;0,1;;;;;;;;;;;
;SITOWS;;;HSS;LAST;321 416 573;2 462 540;53 375;1,00;0,2%;MH;9,14;79 953;7 407 801;0,23%;;;0,2%;0,00%;-64 839;;;-0,08;-0,9%;0,00;0;-1%;8%;11%;0%;0%;44;3,2 ;;;;;0,01;0,01;0,17;0,10;0,0;;;;;;;;;;;
;SKF B; ; ;SSE;LAST;95 788 708 169;0;1 854 558;0,60;0,1%;EE;225,90;20 215;4 566 569;0,00%;;;0,1%;0,00%;-64 688;;;-3,20;-1,4%;0,00;0;-12%;-9%;-8%;-3%;19%;35;-4,3 ;;;;;-0,01;-0,01;0,08;0,05;0,2;;;;;;;;;;;
;SKIS B; ; ;SSE;LAST;9 632 446 418;0;110 154;0,60;0,1%;EE;128,90;54 034;6 964 983;0,07%;;;0,2%;0,01%;162 102;;;3,00;2,4%;0,00;0;2%;8%;12%;6%;11%;22;7,1 ;;;;;0,03;0,02;0,08;0,05;0,0;;;;;;;;;;;
;SNI;;;OSS;LAST;8 170 646 120;11 678 072;24 896;0,70;0,3%;WG;127,40;115 752;14 878 051;0,18%;;;0,5%;-0,01%;-163 495;;;-1,40;-1,1%;0,00;0;-2%;1%;1%;2%;37%;26;5,4 ;;;;;0,04;0,03;0,20;0,12;0,1;;;;;;;;;;;
;SSAB B;;;SSE;LAST;33 619 459 754;0;4 129 101;0,80;0,2%;JK;46,33;210 000;9 729 300;0,03%;;;0,3%;0,01%;241 500;;;1,15;2,5%;0,00;0;1%;10%;21%;49%;72%;27;27,2 ;;;;;0,14;0,08;0,13;0,08;0,2;;;;;;;;;;;
;STE R;; ;SSE;LAST;15 533 491 451;0;450 768;1,00;0,8%;WG;167,40;146 640;24 547 536;0,16%;;;0,8%;-0,01%;-219 960;;;-1,50;-0,9%;0,00;0;-1%;3%;1%;6%;23%;28;4,5 ;;;;;0,06;0,03;0,36;0,22;0,2;;;;;;;;;;;
;SWEC B; ; ;SSE;LAST;50 013 404 291;0;228 521;0,60;0,3%;EE;150,60;110 211;16 597 777;0,03%;;;0,5%;0,00%;44 084;;;0,40;0,3%;0,00;0;-0%;6%;6%;6%;-2%;15;2,6 ;;;;;0,02;0,01;0,13;0,08;0,4;;;;;;;;;;;
;TEL2 B; ; ;SSE;LAST;77 129 679 627;0;2 836 676;0,60;0,2%;JK;115,50;85 000;9 817 500;0,01%;;;0,3%;0,00%;-34 000;;;-0,40;-0,3%;0,00;0;-3%;-2%;-0%;-0%;5%;23;-0,4 ;;;;;0,00;0,00;0,12;0,07;0,4;;;;;;;;;;;
;TEL2 B; ; ;SSE;LAST;77 129 679 627;0;2 836 676;0,60;0,2%;EE;115,50;113 296;13 085 688;0,02%;;;0,4%;0,00%;-45 318;;;-0,40;-0,3%;0,00;0;-3%;-2%;-0%;-0%;5%;23;-0,4 ;;;;;0,00;0,00;0,16;0,09;0,5;;;;;;;;;;;
;TELIA;;;SSE;LAST;144 057 276 703;0;13 471 230;1,30;1,2%;WG;35,23;830 190;29 243 443;0,02%;;;0,9%;0,00%;132 830;;;0,16;0,5%;0,00;0;-3%;-7%;-7%;-4%;-3%;22;-4,4 ;;;;;-0,07;-0,04;0,33;0,20;2,2;;;;;;;;;;;
;THUNDR;; ;SSE;LAST;4 345 545 834;24 247 230;186 682;0,80;0,7%;MH;63,00;421 559;26 558 217;0,61%;;;0,8%;-0,01%;-210 780;;;-0,50;-0,8%;0,00;0;4%;15%;21%;-28%;0%;39;2,1 ;;;;;0,03;0,02;0,53;0,32;0,1;;;;;;;;;;;
;THUNDR;; ;SSE;LAST;4 345 545 834;0;186 682;0,80;0,2%;EE;63,00;150 000;9 450 000;0,22%;;;0,3%;0,00%;-75 000;;;-0,50;-0,8%;0,00;0;4%;15%;21%;-28%;0%;39;2,1 ;;;;;0,01;0,01;0,19;0,11;0,0;;;;;;;;;;;
;TIGO SDB;;;SSE;LAST;29 118 205 436;0;414 676;1,30;0,7%;EE;313,25;52 748;16 523 311;0,06%;;;0,5%;0,00%;145 057;;;2,75;0,9%;0,00;0;-5%;-7%;-6%;-2%;10%;18;-2,2 ;;;;;-0,02;-0,01;0,16;0,09;0,2;;;;;;;;;;;
;TREL B;;;SSE;LAST;54 554 393 997;0;724 986;1,30;0,5%;EE;224,90;54 700;12 302 030;0,02%;;;0,4%;0,00%;-32 820;;;-0,60;-0,3%;0,00;0;-3%;1%;1%;16%;34%;22;7,3 ;;;;;0,05;0,03;0,14;0,08;0,3;;;;;;;;;;;
;TREL B;;;SSE;LAST;54 554 393 997;0;724 986;1,30;0,4%;WG;224,90;40 000;8 996 000;0,02%;;;0,3%;0,00%;-24 000;;;-0,60;-0,3%;0,00;0;-3%;1%;1%;16%;34%;22;7,3 ;;;;;0,03;0,02;0,10;0,06;0,3;;;;;;;;;;;
;TREL B;;;SSE;LAST;54 554 393 997;0;724 986;1,30;0,4%;MH;224,90;40 854;9 188 065;0,02%;;;0,3%;0,00%;-24 512;;;-0,60;-0,3%;0,00;0;-3%;1%;1%;16%;34%;22;7,3 ;;;;;0,03;0,02;0,10;0,06;0,3;;;;;;;;;;;
;VOLO;;;SSE;LAST;9 655 839 034;3 404 645;37 998;1,30;0,3%;MH;121,60;65 997;8 025 235;0,08%;;;0,2%;0,00%;131 994;;;2,00;1,7%;0,00;0;5%;15%;24%;2%;51%;49;17,1 ;;;;;0,07;0,04;0,20;0,12;0,0;;;;;;;;;;;
;WRT1V;;;HSS;LAST;6 571 088 246;0;2 693 725;1,30;0,3%;EE;11,11;65 000;7 317 122;0,01%;;;0,2%;0,00%;46 123;;;0,07;0,6%;0,00;0;21%;24%;27%;32%;49%;57;29,1 ;;;;;0,11;0,07;0,21;0,13;0,0;;;;;;;;;;;
;WAWI;;;OSS;LAST;11 669 233 694;0;270 225;1,50;0,3%;EE;27,58;206 171;5 736 803;n.m.;;;0,2%;0,00%;16 640;;;0,08;0,3%;0,00;0;-1%;-0%;-0%;21%;54%;27;12,0 ;;;;;0,04;0,02;0,08;0,05;0,0;;;;;;;;;;;
;LONG;;;;;;409 440 028;;;62,0%;;;;1 943 000 784;;;;60,3%;0,265%;8 558 979;;;;0,44%;n.m.;24 287;0,0%;6,4%;8,2%;12,0%;25,4%;27,0;9,3;;;;;9,3;5,6;27,0;16,3;53,6;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ABB;;;SSE;LAST;138 568 713 583;0;1 291 170;0,70;-0,7%;EE;272,40;-117 147;-31 910 843;-0,02%;;;-1,0%;0,01%;222 579;;;-1,90;-0,7%;0,00;0;-3%;3%;3%;10%;19%;22;4,5 ;;;;;0,13;-0,04;0,64;-0,21;4,1;;;;;;;;;;;
;ACAD;; ;SSE;LAST;9 650 283 504;0;121 819;1,20;-0,1%;WG;91,60;-31 729;-2 906 376;-0,03%;;;-0,1%;0,00%;-25 383;;;0,80;0,9%;0,00;0;2%;12%;11%;15%;26%;24;11,2 ;;;;;0,03;-0,01;0,07;-0,02;0,0;;;;;;;;;;;
;ALFA;; ;SSE;LAST;122 565 135 243;0;975 169;1,20;-0,8%;EE;292,20;-73 300;-21 418 260;-0,02%;;;-0,7%;0,00%;-73 300;;;1,00;0,3%;0,00;0;4%;11%;9%;26%;52%;25;16,8 ;;;;;0,33;-0,11;0,50;-0,17;2,4;;;;;;;;;;;
;ARJO B;;;SSE;LAST;19 163 088 924;0;569 853;1,20;-0,4%;EE;75,40;-158 749;-11 969 675;-0,06%;;;-0,4%;0,00%;-103 187;;;0,65;0,9%;0,00;0;7%;16%;15%;23%;28%;26;15,7 ;;;;;0,17;-0,06;0,29;-0,10;0,2;;;;;;;;;;;
;ATRLJ B;; ;SSE;LAST;23 531 096 026;0;164 362;1,20;-0,1%;JK;182,10;-15 000;-2 731 500;-0,01%;;;-0,1%;0,00%;-4 500;;;0,30;0,2%;0,00;0;1%;16%;12%;14%;16%;25;9,2 ;;;;;0,02;-0,01;0,06;-0,02;0,1;;;;;;;;;;;
;ATT;; ;SSE;LAST;8 279 132 170;0;231 542;1,20;-0,1%;JK;51,30;-30 000;-1 539 000;-0,02%;;;0,0%;0,00%;-1 500;;;0,05;0,1%;0,00;0;1%;3%;3%;12%;17%;22;6,3 ;;;;;0,01;0,00;0,03;-0,01;0,0;;;;;;;;;;;
;AXFO;; ;SSE;LAST;44 744 435 798;0;319 239;0,70;-0,4%;WG;213,20;-76 752;-16 363 526;-0,04%;;;-0,5%;-0,01%;-191 880;;;2,50;1,2%;0,00;0;2%;2%;2%;6%;-1%;13;2,3 ;;;;;0,03;-0,01;0,20;-0,07;0,7;;;;;;;;;;;
;AXFO;; ;SSE;LAST;44 744 435 798;0;319 239;0,70;-0,1%;JK;213,20;-25 000;-5 330 000;-0,01%;;;-0,2%;0,00%;-62 500;;;2,50;1,2%;0,00;0;2%;2%;2%;6%;-1%;13;2,3 ;;;;;0,01;0,00;0,06;-0,02;0,2;;;;;;;;;;;
;BEIJ B;; ;SSE;LAST;47 668 011 961;0;195 452;1,20;-0,1%;WG;134,66;-23 400;-3 151 044;-0,01%;;;-0,1%;0,00%;15 912;;;-0,68;-0,5%;0,00;0;-3%;5%;11%;11%;50%;383;11,9 ;;;;;0,03;-0,01;1,12;-0,37;0,1;;;;;;;;;;;
;BETS B;; ;SSE;LAST;9 702 374 616;0;706 841;1,20;-0,1%;JK;79,20;-30 000;-2 376 000;-0,02%;;;-0,1%;0,00%;-16 500;;;0,55;0,7%;0,00;0;-6%;-2%;2%;-2%;8%;30;-0,8 ;;;;;0,00;0,00;0,07;-0,02;0,0;;;;;;;;;;;
;BMAX;;;SSE;LAST;4 459 030 190;0;746 881;0,80;-0,6%;EE;73,10;-348 537;-25 478 055;-0,57%;;;-0,8%;0,00%;-139 415;;;0,40;0,6%;0,00;0;-5%;-4%;13%;35%;50%;48;16,6 ;;;;;0,39;-0,13;1,13;-0,38;0,1;;;;;;;;;;;
;BOOZT;;;SSE;LAST;13 044 239 974;0;302 554;0,80;-0,1%;EE;204,80;-26 111;-5 347 533;-0,04%;;;-0,2%;0,00%;-73 111;;;2,80;1,4%;0,00;0;-6%;12%;17%;24%;29%;57;12,2 ;;;;;0,06;-0,02;0,28;-0,09;0,1;;;;;;;;;;;
;BRAV;;;SSE;LAST;26 437 564 606;0;165 172;1,40;-0,3%;WG;130,25;-50 000;-6 512 500;-0,02%;;;-0,2%;0,00%;-117 500;;;2,35;1,8%;0,00;0;-1%;8%;12%;27%;16%;24;11,1 ;;;;;0,07;-0,02;0,14;-0,05;-0,1;;;;;;;;;;;
;CAST;;;SSE;LAST;58 779 737 132;0;816 484;0,80;-0,1%;MH;212,00;-19 901;-4 219 012;-0,01%;;;-0,1%;0,00%;-15 921;;;0,80;0,4%;0,00;0;2%;10%;5%;5%;6%;20;4,1 ;;;;;0,02;-0,01;0,08;-0,03;0,2;;;;;;;;;;;
;CDON;;;SSE;LAST;3 564 639 645;0;23 271;0,80;-0,1%;EE;595,00;-7 611;-4 528 545;-0,13%;;;-0,1%;0,00%;38 055;;;-5,00;-0,8%;0,00;0;-7%;9%;9%;12%;0%;71;2,5 ;;;;;0,01;0,00;0,30;-0,10;0,0;;;;;;;;;;;
;CINT;;;SSE;LAST;11 340 667 567;0;326 174;0,80;-0,1%;MH;83,00;-62 554;-5 191 982;-0,05%;;;-0,2%;0,00%;37 532;;;-0,60;-0,7%;0,00;0;-2%;1%;6%;0%;0%;26;1,2 ;;;;;0,01;0,00;0,13;-0,04;0,1;;;;;;;;;;;
;CTY1S;;;HSS;LAST;1 314 519 107;0;353 439;1,00;-0,3%;MH;7,39;-119 865;-8 973 281;-0,07%;;;-0,3%;0,00%;-72 904;;;0,06;0,8%;0,00;0;1%;4%;2%;-6%;6%;16;0,7 ;;;;;0,01;0,00;0,13;-0,04;0,0;;;;;;;;;;;
;DNB;; ;OSS;LAST;283 269 964 303;0;1 163 167;1,00;-0,9%;EE;181,10;-160 300;-29 288 700;-0,01%;;;-0,9%;0,00%;-80 863;;;0,50;0,3%;0,00;0;-3%;-0%;2%;8%;29%;15;5,5 ;;;;;0,15;-0,05;0,42;-0,14;7,7;;;;;;;;;;;
;DUST;;;SSE;LAST;9 174 999 587;0;416 044;0,80;-0,1%;WG;103,50;-51 655;-5 346 293;-0,06%;;;-0,2%;0,00%;-61 986;;;1,20;1,2%;0,00;0;-3%;16%;18%;39%;64%;66;21,8 ;;;;;0,11;-0,04;0,32;-0,11;0,0;;;;;;;;;;;
;DUST;;;SSE;LAST;9 174 999 587;0;416 044;0,80;-0,3%;EE;103,50;-112 201;-11 612 804;-0,13%;;;-0,4%;0,00%;-134 641;;;1,20;1,2%;0,00;0;-3%;16%;18%;39%;64%;66;21,8 ;;;;;0,23;-0,08;0,70;-0,24;0,1;;;;;;;;;;;
;ELISA;;;HSS;LAST;7 899 888 796;0;433 098;1,00;-0,3%;WG;47,21;-18 300;-8 757 769;-0,01%;;;-0,3%;0,00%;7 420;;;-0,04;-0,1%;0,00;0;-2%;-8%;-9%;-1%;5%;20;-3,1 ;;;;;-0,03;0,01;0,16;-0,05;0,1;;;;;;;;;;;
;ENEA;;;SSE;LAST;5 490 268 674;8 145 187;12 042;0,80;-0,3%;EE;254,00;-44 110;-11 203 940;-0,20%;;;-0,3%;0,00%;-132 330;;;3,00;1,2%;0,00;0;6%;12%;14%;19%;44%;25;16,9 ;;;;;0,18;-0,06;0,26;-0,09;0,1;;;;;;;;;;;
;ENENTO;;;HSS;LAST;809 974 647;1 056 126;15 254;1,00;-0,5%;MH;33,70;-46 593;-15 916 917;-0,19%;;;-0,5%;0,00%;-47 231;;;0,10;0,3%;0,00;0;-3%;-4%;-6%;1%;-4%;28;-3,3 ;;;;;-0,05;0,02;0,42;-0,14;0,0;;;;;;;;;;;
;EPR;;;OSS;LAST;9 333 560 951;0;308 802;0,70;-0,2%;MH;55,90;-150 000;-8 459 627;-0,09%;;;-0,3%;0,00%;60 534;;;-0,40;-0,7%;0,00;0;0%;9%;15%;19%;19%;19;11,1 ;;;;;0,09;-0,03;0,15;-0,05;0,1;;;;;;;;;;;
;EQT;; ;SSE;LAST;265 024 822 590;0;642 818;1,20;-0,5%;WG;278,10;-50 000;-13 905 000;-0,01%;;;-0,4%;-0,01%;-190 000;;;3,80;1,4%;0,00;0;-7%;-3%;3%;25%;59%;34;12,0 ;;;;;0,15;-0,05;0,44;-0,15;3,4;;;;;;;;;;;
;EQT;; ;SSE;LAST;265 024 822 590;0;642 818;1,20;-1,0%;MH;278,10;-100 000;-27 810 000;-0,01%;;;-0,9%;-0,01%;-380 000;;;3,80;1,4%;0,00;0;-7%;-3%;3%;25%;59%;34;12,0 ;;;;;0,31;-0,10;0,87;-0,29;6,8;;;;;;;;;;;
;EQT;; ;SSE;LAST;265 024 822 590;0;642 818;1,20;-0,2%;EE;278,10;-19 966;-5 552 545;0,00%;;;-0,2%;0,00%;-75 871;;;3,80;1,4%;0,00;0;-7%;-3%;3%;25%;59%;34;12,0 ;;;;;0,06;-0,02;0,17;-0,06;1,4;;;;;;;;;;;
;EVO;; ;SSE;LAST;307 959 092 403;0;734 708;0,90;-0,1%;WG;1450,40;-2 150;-3 118 360;0,00%;;;-0,1%;0,00%;-1 720;;;0,80;0,1%;0,00;0;3%;13%;14%;62%;106%;25;33,6 ;;;;;0,10;-0,03;0,07;-0,02;0,9;;;;;;;;;;;
;FABG;; ;SSE;LAST;43 398 748 493;0;850 215;0,90;-0,1%;WG;131,20;-15 061;-1 976 003;0,00%;;;-0,1%;0,00%;27 110;;;-1,80;-1,4%;0,00;0;-2%;11%;10%;5%;10%;21;4,7 ;;;;;0,01;0,00;0,04;-0,01;0,1;;;;;;;;;;;
