; ;;;;;;2017-12-28;;2017-12-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;OMX:;+0,07%;;;;;JK:;WG:;MH:;EE:;TOT:;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;-0,007803263;;;;;;;;;;;;;;;;;;11:37:06;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;CSX:;+0,39%;;;;;0,034%;0,022%;0,037%;0,039%;0,132%;;;;;;;;;;MOM;MOM;VOL;VOL;MCAP;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;2021-04-12;;;;;;;;;;;;;;;;;;;;;;;;;L/S ;PORTO;L/S ;PORTO;L/S ;;;;;;;;;;;
;TICKER;;;Market;Price;MarketCap;5 days;ADV;Beta 2Y;� Net;PM;PRICE;VOLUME;VALUE;SIZE;;;WEIGHT;% 1D;� SEK 1D;;;� 1D;� 1D;DPS;DIV;� 1W;� MTD;� 1M;� 3M;� 6M;VOL 30D;MOM;;;;;WEIGHT;WEIGHT;WEIGHT;WEIGHT;WEIGHT;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BETCO;;;SSE;LAST;10 985 206 050;0;46 850;1,40;0,5%;EE;234,00;49 202;11 513 268;0,10%;;;0,4%;0,00%;-24 601;;;-0,50;-0,2%;0,00;0;-1%;9%;11%;13%;91%;36;19,2 ;;;;;0,11;0,07;0,21;0,13;0,1;;;;;;;;;;;
;BHG;; ;SSE;LAST;21 561 540 317;0;492 758;0,90;0,2%;JK;178,30;45 000;8 023 500;0,04%;;;0,2%;0,00%;-58 500;;;-1,30;-0,7%;0,00;0;2%;23%;26%;8%;28%;39;14,5 ;;;;;0,06;0,04;0,16;0,10;-0,2;;;;;;;;;;;
;BONEX;; ;SSE;LAST;4 215 476 074;4 375 769;203 821;1,40;0,5%;MH;66,10;167 490;11 071 089;0,26%;;;0,3%;0,00%;-150 741;;;-0,90;-1,3%;0,00;0;11%;10%;10%;-9%;7%;34;6,2 ;;;;;0,04;0,02;0,19;0,12;0,0;;;;;;;;;;;
;BONEX;; ;SSE;LAST;4 215 476 074;0;203 821;1,40;0,3%;EE;66,10;102 530;6 777 233;0,16%;;;0,2%;0,00%;-92 277;;;-0,90;-1,3%;0,00;0;11%;10%;10%;-9%;7%;34;6,2 ;;;;;0,02;0,01;0,12;0,07;0,0;;;;;;;;;;;
;CAT B;;;SSE;LAST;2 814 830 958;27 605 850;101 911;1,40;0,3%;EE;32,80;230 000;7 544 000;0,27%;;;0,2%;0,00%;-34 500;;;-0,15;-0,5%;0,00;0;6%;21%;18%;10%;55%;34;17,9 ;;;;;0,07;0,04;0,13;0,08;0,0;;;;;;;;;;;
;CAT B;;;SSE;LAST;2 814 830 958;0;101 911;1,40;1,0%;WG;32,80;713 553;23 404 538;0,83%;;;0,7%;0,00%;-107 033;;;-0,15;-0,5%;0,00;0;6%;21%;18%;10%;55%;34;17,9 ;;;;;0,22;0,13;0,41;0,25;0,0;;;;;;;;;;;
;CEVI;;;SSE;LAST;8 472 069 494;0;25 475;0,80;0,2%;EE;355,20;26 676;9 475 315;0,11%;;;0,3%;0,00%;-69 358;;;-2,60;-0,7%;0,00;0;-3%;10%;9%;18%;21%;33;8,6 ;;;;;0,04;0,03;0,16;0,10;0,0;;;;;;;;;;;
;CHEMM; ; ;CSS;LAST;16 380 171 676;0;40 272;1,00;0,7%;WG;690,50;24 373;22 941 210;0,14%;;;0,7%;-0,01%;-315 629;;;-9,50;-1,4%;0,00;0;-2%;15%;25%;31%;72%;34;23,7 ;;;;;0,28;0,17;0,40;0,24;0,2;;;;;;;;;;;
;CRAYN;;;OSS;LAST;11 320 351 676;0;78 929;1,50;0,3%;EE;134,80;47 896;6 513 843;n.m.;;;0,2%;0,00%;86 980;;;1,80;1,4%;0,00;0;-1%;0%;1%;11%;25%;38;5,9 ;;;;;0,02;0,01;0,13;0,08;0,0;;;;;;;;;;;
;CSAM;;;OSS;LAST;1 850 106 395;3 409 985;7 419;1,50;0,2%;JK;88,50;45 610;4 072 410;n.m.;;;0,1%;0,00%;-36 813;;;-0,80;-0,9%;0,00;0;-8%;-7%;-7%;-11%;5%;36;-6,3 ;;;;;-0,01;-0,01;0,08;0,05;0,0;;;;;;;;;;;
;CTM;;;SSE;LAST;3 901 119 874;0;1 403 319;0,80;0,1%;EE;55,42;80 585;4 466 021;0,11%;;;0,1%;0,00%;-6 447;;;-0,08;-0,1%;0,00;0;1%;17%;21%;93%;58%;73;34,1 ;;;;;0,08;0,05;0,17;0,10;0,0;;;;;;;;;;;
;CTM;;;SSE;LAST;3 901 119 874;0;1 403 319;1,40;0,8%;WG;55,42;311 674;17 272 973;0,44%;;;0,5%;0,00%;-24 934;;;-0,08;-0,1%;0,00;0;1%;17%;21%;93%;58%;73;34,1 ;;;;;0,30;0,18;0,65;0,39;0,0;;;;;;;;;;;
;EMBRAC B;;;SSE;LAST;115 884 005 588;0;1 577 440;1,40;0,6%;JK;248,10;55 000;13 645 500;0,01%;;;0,4%;-0,01%;-209 000;;;-3,80;-1,5%;0,00;0;-5%;3%;5%;21%;39%;34;9,9 ;;;;;0,07;0,04;0,24;0,14;0,8;;;;;;;;;;;
;EMBRAC B;;;SSE;LAST;115 884 005 588;0;1 577 440;1,40;0,4%;EE;248,10;40 000;9 924 000;0,01%;;;0,3%;0,00%;-152 000;;;-3,80;-1,5%;0,00;0;-5%;3%;5%;21%;39%;34;9,9 ;;;;;0,05;0,03;0,17;0,10;0,6;;;;;;;;;;;
;ERIC B;;;SSE;PREVCLOSE;365 615 094 488;0;6 979 752;1,30;0,2%;EE;119,00;51 700;6 152 300;0,00%;;;0,2%;0,00%;0;;;0,00;0,0%;0,00;0;0%;3%;4%;20%;10%;22;6,6 ;;;;;0,02;0,01;0,07;0,04;1,2;;;;;;;;;;;
