; ;;;;;;2017-12-28;;2017-12-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;OMX:;+2,07%;;;;;JK:;WG:;MH:;EE:;TOT:;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;0,018808777;;;;;;;;;;;;;;;;;;14:38:18;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;CSX:;+1,50%;;;;;0,063%;0,151%;0,252%;-0,053%;0,412%;;;;;;;;;;MOM;MOM;VOL;VOL;MCAP;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;2021-04-12;;;;;;;;;;;;;;;;;;;;;;;;;L/S ;PORTO;L/S ;PORTO;L/S ;;;;;;;;;;;
;TICKER;;;Market;Price;MarketCap;5 days;ADV;Beta 2Y;ß Net;PM;PRICE;VOLUME;VALUE;SIZE;;;WEIGHT;% 1D;∆ SEK 1D;;;∆ 1D;∆ 1D;DPS;DIV;∆ 1W;∆ MTD;∆ 1M;∆ 3M;∆ 6M;VOL 30D;MOM;;;;;WEIGHT;WEIGHT;WEIGHT;WEIGHT;WEIGHT;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SAS;;;SSE;LAST;14 655 601 252;0;44 563 953;0,80;-0,2%;MH;2,02;-4 815 843;-9 713 555;-0,07%;;;-0,3%;-0,01%;-187 818;;;0,04;2,0%;0,00;0;-1%;3%;-2%;20%;140%;36;23,8 ;;;;;0,22;-0,07;0,33;-0,11;0,1;;;;;;;;;;;
;SCATC;;;OSS;LAST;34 505 264 710;0;1 309 680;0,70;-0,2%;EE;217,20;-42 350;-9 382 480;-0,03%;;;-0,3%;0,00%;-120 953;;;2,80;1,3%;0,00;0;-18%;-3%;-16%;-29%;-2%;68;-17,2 ;;;;;-0,15;0,05;0,60;-0,20;-0,2;;;;;;;;;;;
;SECT B;; ;SSE;LAST;20 591 403 947;0;60 518;1,20;-0,2%;WG;573,50;-7 200;-4 129 200;-0,02%;;;-0,1%;0,00%;14 400;;;-2,00;-0,3%;0,00;0;-3%;-5%;1%;-22%;-1%;37;-5,3 ;;;;;-0,02;0,01;0,14;-0,05;0,1;;;;;;;;;;;
;SHOT;;;SSE;LAST;7 363 432 731;0;2 648 467;1,50;-0,7%;WG;38,50;-384 915;-14 819 228;-0,20%;;;-0,5%;-0,01%;-396 462;;;1,03;2,7%;0,00;0;2%;1%;2%;16%;62%;41;13,8 ;;;;;0,19;-0,06;0,57;-0,19;0,1;;;;;;;;;;;
;SINCH;; ;SSE;LAST;83 862 805 293;0;275 508;0,90;-0,2%;WG;1289,50;-5 480;-7 066 460;-0,01%;;;-0,2%;0,00%;-43 840;;;8,00;0,6%;0,00;0;-20%;-4%;-15%;-3%;33%;62;-6,8 ;;;;;-0,05;0,02;0,41;-0,14;0,6;;;;;;;;;;;
;SVOL B;;;SSE;LAST;6 049 615 075;0;62 372;1,30;-0,1%;WG;248,40;-10 331;-2 566 220;-0,04%;;;-0,1%;0,00%;22 728;;;-2,20;-0,9%;0,00;0;-5%;-10%;11%;31%;52%;39;15,3 ;;;;;0,04;-0,01;0,09;-0,03;0,0;;;;;;;;;;;
;SWED A;;;SSE;LAST;167 401 006 169;0;4 152 413;1,30;-0,9%;EE;147,88;-150 000;-22 182 000;-0,01%;;;-0,7%;-0,01%;-174 000;;;1,16;0,8%;0,00;0;-1%;-1%;-3%;-2%;-0%;20;-1,7 ;;;;;-0,03;0,01;0,42;-0,14;3,5;;;;;;;;;;;
;TELIA;;;SSE;LAST;145 325 062 531;0;12 776 893;1,30;-0,5%;EE;35,54;-327 150;-11 625 275;-0,01%;;;-0,4%;0,00%;-89 966;;;0,27;0,8%;0,00;0;1%;1%;-6%;-3%;1%;21;-2,0 ;;;;;-0,02;0,01;0,23;-0,07;1,6;;;;;;;;;;;
;TOKMAN;;;HSS;LAST;1 256 259 168;0;150 509;1,00;-0,3%;MH;21,34;-50 960;-11 087 250;-0,09%;;;-0,3%;0,00%;-155 866;;;0,30;1,4%;0,00;0;-4%;-0%;8%;29%;54%;23;14,7 ;;;;;0,15;-0,05;0,24;-0,08;0,0;;;;;;;;;;;
;TOKMAN;;;HSS;LAST;1 256 259 168;0;150 509;1,00;-0,6%;EE;21,34;-83 566;-18 181 263;-0,14%;;;-0,6%;-0,01%;-255 594;;;0,30;1,4%;0,00;0;-4%;-0%;8%;29%;54%;23;14,7 ;;;;;0,25;-0,08;0,39;-0,13;0,0;;;;;;;;;;;
;TOM;;;OSS;LAST;59 592 883 403;0;224 775;1,50;-0,4%;EE;402,60;-22 200;-9 116 564;n.m.;;;-0,3%;0,00%;-43 024;;;-1,10;-0,3%;3,00;-67 933;-1%;-3%;9%;-0%;0%;39;2,1 ;;;;;0,02;-0,01;0,34;-0,11;0,5;;;;;;;;;;;
;TYRES;;;HSS;LAST;4 337 137 035;0;372 188;1,00;-0,2%;EE;31,22;-20 850;-6 636 498;-0,02%;;;-0,2%;0,00%;21 257;;;-0,10;-0,3%;0,00;0;-1%;1%;0%;-4%;16%;16;1,6 ;;;;;0,01;0,00;0,10;-0,03;0,0;;;;;;;;;;;
;VOLV B;;;SSE;LAST;335 563 049 153;0;5 936 858;1,30;-0,6%;EE;211,25;-68 622;-14 496 398;0,00%;;;-0,5%;-0,01%;-267 626;;;3,90;1,9%;0,00;0;-0%;2%;0%;-2%;15%;28;1,9 ;;;;;0,03;-0,01;0,38;-0,13;4,6;;;;;;;;;;;
;VOLV B;;;SSE;LAST;335 563 049 153;0;5 936 858;0,60;-0,2%;JK;211,25;-40 000;-8 450 000;0,00%;;;-0,3%;0,00%;-156 000;;;3,90;1,9%;0,00;0;-0%;2%;0%;-2%;15%;28;1,9 ;;;;;0,02;-0,01;0,22;-0,07;-1,5;;;;;;;;;;;
;WIHL;; ;SSE;LAST;27 284 138 440;0;248 574;1,20;-0,2%;WG;177,50;-25 000;-4 437 500;-0,02%;;;-0,1%;0,00%;-37 500;;;1,50;0,9%;0,00;0;-8%;3%;4%;-0%;3%;32;-1,2 ;;;;;-0,01;0,00;0,13;-0,04;0,1;;;;;;;;;;;
;ZAL;;;XET;LAST;22 263 346 195;0;476 176;1,00;-0,4%;EE;85,32;-16 250;-14 135 274;n.m.;;;-0,4%;-0,01%;-284 959;;;1,72;2,1%;0,00;0;-5%;-1%;-0%;-12%;-3%;27;-4,7 ;;;;;-0,06;0,02;0,36;-0,12;0,3;;;;;;;;;;;
;OMXS301D;; ;SO;PREVCLOSE;165 000 000 000;0;100 930;1,00;0,0%;EE;0,00;-250;0;n.m.;;;0,0%;0,00%;0;;;0,00;0,0%;0,00;0;0%;1%;2%;12%;25%;10;6,6 ;;;;;0,00;0,00;0,00;0,00;0,0;;;;;;;;;;;
;OMXS301D;; ;SO;PREVCLOSE;165 000 000 000;0;100 930;1,00;0,0%;JK;0,00;-225;0;n.m.;;;0,0%;0,00%;0;;;0,00;0,0%;0,00;0;0%;1%;2%;12%;25%;10;6,6 ;;;;;0,00;0,00;0,00;0,00;0,0;;;;;;;;;;;
;OMXS301D;; ;SO;PREVCLOSE;165 000 000 000;0;100 930;1,00;0,0%;WG;0,00;-1 194;0;n.m.;;;0,0%;0,00%;0;;;0,00;0,0%;0,00;0;0%;1%;2%;12%;25%;10;6,6 ;;;;;0,00;0,00;0,00;0,00;0,0;;;;;;;;;;;
;OMXS301D;; ;SO;PREVCLOSE;165 000 000 000;0;100 930;1,00;0,0%;MH;0,00;-170;0;n.m.;;;0,0%;0,00%;0;;;0,00;0,0%;0,00;0;0%;1%;2%;12%;25%;10;6,6 ;;;;;0,00;0,00;0,00;0,00;0,0;;;;;;;;;;;
;SHORT;;;;;;10 091 827;;;-34,4%;;;;-1 068 607 772;;;;-33,3%;-0,576%;-18 557 316;;;;1,74%;n.m.;-67 933;0,5%;3,2%;3,2%;9,7%;30,4%;27,9;7,3;;;;;7,3;-2,4;27,9;-9,3;74,6;;;;;;;;;;;
;E Q U I T Y;;;;;;382 892 176;;;27,0%;;;;849 777 317;;;;26,5%;0,412%;13 283 304;;;EXPOSURE;JK;WG;MH;EE;TOTAL;JK;WG;MH;EE;TOTAL;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;OUTPOST24;;;INGEN;PREVCLOSE;0;n.m.;0;1,00;0,8%;JK;435,68;57 382;24 999 926;n.m.;;;0,8%;0,00%;0;;;;;;;;;;;;;;;;;;0,00;0,00;n.m.;n.m.;0,0;;;;;;;;;;;
;ACQ SPAC;;;SSE;LAST;3 745 000 000;0;77 963;1,00;1,6%;JK;107,00;490 000;52 430 000;n.m.;;;1,6%;0,00%;-98 000;;;-0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;F U N D S;;;;Price;Accrued;Calc Accr;;;;;0,000;;77 429 926;0;;;2,4%;0,00%;-98 000;;;Eq long;4,5%;21,4%;17,2%;16,5%;59,7%;0,09%;0,24%;0,39%;0,26%;0,99%;;;;;;;;;;;;;;;;;;;;
;BMW FRN 230619;;;SSE;100,586;8 347;17 429;;1,0;;JK;100,586;20 000 000;20 125 547;20 072 373;;;0,6%;;53 173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CATB FRN 250317;;;SSE;100,559;68 366;127 520;;1,0;;JK;100,559;20 000 000;20 180 166;20 137 012;;;0,6%;;43 153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CATME HO1;;;SOX;92,140;0;270 831;;1,0;;MH;92,140;10 555 500;9 725 838;9 908 045;;;0,3%;;-182 207;;;;;;;;;;;;;;;;;;;;#REFERENS!;;#REFERENS!;;;;;;;;;;;
;GETINGE FRN 210521;;;SSE;100,085;48 249;75 579;;1,0;;JK;100,085;24 000 000;24 068 649;24 062 113;;;0,7%;;6 536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;LIFCOB FRN 211206;;;SSE;100,134;15 711;75 579;;1,0;;JK;100,134;32 000 000;32 058 591;32 054 804;;;1,0%;;3 787;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;LIFCOB FRN 230302;;;SSE;100,724;8 801;14 448;;1,0;;JK;100,724;8 000 000;8 066 721;8 063 265;;;0,3%;;3 456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SBAB FRN 210617;;;SSE;100,821;1 034 958;1 056 025;;1,0;;JK;100,821;25 000 000;26 240 208;26 226 858;;;0,8%;;13 350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SCANIA FRN 220822;;;SSE;100,352;42 671;69 147;;1,0;;JK;100,352;50 000 000;50 218 671;50 201 221;;;1,6%;;17 450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SFSS FRN 240630;;;SSE;104,360;27 891;64 756;;1,0;;JK;104,360;12 500 000;13 072 891;13 109 953;;;0,4%;;-37 063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;STERV FRN 240220;;;SSE;102,504;155 384;247 000;;1,0;;JK;102,504;80 000 000;82 158 584;82 086 931;;;2,6%;;71 653;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TELIA FRN 221004;;;SSE;102,807;26 418;542 013;;1,0;;JK;102,807;55 000 000;56 570 268;56 937 164;;;1,8%;;33 104;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TELNO FRN 210920;;;SSE;100,143;19 688;48 000;;1,0;;JK;100,143;75 000 000;75 126 938;75 120 188;;;2,3%;;6 750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;VW FRN 210416;;;SSE;100,001;47 250;65 270;;1,0;;JK;100,001;30 000 000;30 047 550;30 043 200;;;0,9%;;4 350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SHOTSS;;;SSE;95,392;0;16 875;;1,0;;WG;95,392;7 500 000;7 154 400;6 864 975;;;0,2%;;289 425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
